response_id,serviceappointment_id,submitted_at,nps
ftq23raxfu1x5avan8azmzftq23x421b,7000000GyM7AAK,2022-10-04 19:50:52,5.0
bzsxqwsvrcbrbzsxtxhw5lpaor1m4qaz,7000002a81uAAA,2022-10-14 15:57:14,5.0
edesn6blvttwux0qiedesn65wfggku93,7000002b7JdAAI,2022-10-17 18:28:08,10.0
noe0wd9vv5dchmtynoejlcy6v9sj0ymw,7000002bDe3AAE,2022-10-04 15:53:17,9.0
h2xongl2k5v5o9lnpch2xontyqzvy7at,7000002bDzuAAE,2022-10-17 08:14:28,6.0
688olwsktjeq68hfno3pgshc8htd21tq,7000002bHDGAA2,2022-10-03 11:40:09,7.0
syj7wuvtwtsp7hlkpf8csyj7wuvta4h4,7000002bLttAAE,2022-10-12 17:20:10,9.0
ut5sv81ac6m8ty4o901rljkut5sv8s5r,7000002baQmAAI,2022-10-04 09:54:10,5.0
esdlt4jtkdm2pkzvqaesdlta5biphfrq,7000002bpPGAAY,2022-10-12 13:33:31,5.0
bn8i57gkuwg1mmq7h0abn8i57gximj49,7000002c6wQAAQ,2022-10-11 15:27:44,4.0
3x9gcrd1lh11dbaj4tey663x9g0ncuc0,7000002cG5IAAU,2022-10-13 10:49:41,3.0
ooaty117s0tgx7bw7wzooatloxcst0jx,7000002cItPAAU,2022-10-21 16:00:17,5.0
mpnffwro5ojaci3empnffiaa4klpwet5,7000002cLqxAAE,2022-10-24 13:00:39,10.0
vau1aa8fp1j3pszr9air6mvau1aafhq8,7000002alPSAAY,2022-10-12 08:44:14,8.0
gtxmyjexmglcdljxgtxmxhv9zn0yznmg,7000002b1etAAA,2022-10-13 10:28:24,6.0
sz102fjze3v35i5pjnbysz102vauzjfp,7000002b3pyAAA,2022-10-13 15:18:14,9.0
r0fpu9lf0z7zjxrj94r0fpdizk1fggs6,7000002b4i1AAA,2022-10-10 13:57:52,4.0
6fed20cxplikq4r86tvjbnavvcehukkc,7000002bDCsAAM,2022-10-18 14:39:21,9.0
t1mtxaqqmp6yq3p87vt1mtxayklo39tw,7000002bTk6AAE,2022-10-24 13:02:01,8.0
mq31l2wohx3hxyq4ql4k3l5mq31l2w2o,7000002bTqxAAE,2022-10-18 18:08:58,10.0
kwen2ndwqskwe8uasrauhr7rl3jl3f8u,7000002bYnjAAE,2022-10-03 20:05:21,10.0
eouki5nllrbugksulj71ny6peouki5ng,7000002beq6AAA,2022-10-03 15:56:11,7.0
9bjaeucj5wkikozshmxxgkv9bjaeucuo,7000002bi1vAAA,2022-10-10 09:54:25,6.0
y81wxkr0o9td19q1wny81wxkr06vrnsa,7000002blpFAAQ,2022-10-05 12:42:57,5.0
89flktdkl989xqe1xp39xd89flktdk4t,7000002br74AAA,2022-10-14 15:18:23,5.0
swapedqn23uc96g8s6oswapedpmx11rd,7000002bsgZAAQ,2022-10-18 17:22:27,7.0
51jid8su3vk7gdl51jih6ax9nvx9bj10,7000002bxyNAAQ,2022-10-17 10:00:45,7.0
xphrs6d2y39g9jc71axphrswjtpsvj1j,7000002c60bAAA,2022-10-17 09:41:13,8.0
erhn9g86ofnx1pfgmerhn94t2k2eni81,7000002c8qyAAA,2022-10-12 12:05:59,5.0
smvs2agjehkwr3bk4dwnkaagsmvs2a76,7000002cG3CAAU,2022-10-18 19:43:47,8.0
ej49jt4m7bosb8li481ej49j6z0abr43,7000002cRXdAAM,2022-10-21 15:35:02,6.0
4f5yahd4jda96w24f59kv164sgd76wi3,7000000GyMCAA0,2022-10-20 17:45:53,6.0
x0olxnx6ij30fhxehjx0olylisi5jeiy,7000002aLazAAE,2022-10-05 10:47:11,6.0
86hl2oqw6u7275a86ibygsagqwnn8nru,7000002aYUzAAM,2022-10-05 15:34:55,9.0
c4z5d23tipw4wckc4z5bu5x1ybqb55kl,7000002agWOAAY,2022-10-06 07:09:15,9.0
m0vyioxu3ef23ftfstem0vw34sv1et83,7000002ak3fAAA,2022-10-06 14:33:29,6.0
g10spe0mbu3sjeuog10spe0739jshrac,7000002bSCrAAM,2022-10-19 16:14:18,9.0
kuskx0lgwtua1aigv5ufkuskxm8i6zcl,7000002bWfxAAE,2022-10-10 17:12:59,5.0
4o7t591yqqzkhfdbywe4o7t5916kqpiy,7000002bdUDAAY,2022-10-03 12:14:02,8.0
wyoe6s7vugws71g4wyoem4xhizci7o2x,7000002bifMAAQ,2022-10-20 13:23:13,9.0
1hccblbtoxmq1uxyfrw1hcc1sc7oljxd,7000002bqutAAA,2022-10-20 12:04:38,9.0
bsjjczzje7dyo0a8r5nhbsjjlaz7rx7o,7000002bzOMAAY,2022-10-19 15:46:22,7.0
qsqvyf5cglbrogck086qsqvyiwm1ejkx,7000002c4EvAAI,2022-10-12 14:41:43,3.0
ifkyf3o60ycwzxm2uifkyf3pie0sjs2b,7000002cBK7AAM,2022-10-12 16:07:24,9.0
0uwyz82kiae0uwyqb1ndwvasrz5li0cj,7000002cCqiAAE,2022-10-20 08:09:57,9.0
emougot9hx9iwv2b9emoup6fke8iapd6,7000002aQGGAA2,2022-10-03 14:53:31,7.0
asxwvol2bo36xgywwvxh67sasxwvoea1,7000002awrnAAA,2022-10-09 11:51:14,8.0
a5kk3uocc0kd45loa5kk3unw96mbxedh,7000002b9AiAAI,2022-10-07 19:13:24,2.0
zk4ro2elz2ve7t9b2zk4rzxgzuuuggl8,7000002bHVZAA2,2022-10-06 05:14:41,8.0
72b3j71up4nwtuudn72b3j7ptl8jxkhq,7000002bkwAAAQ,2022-10-12 17:17:33,1.0
ze2r010so1ol1hysencqze2r015x2u5w,7000002c1MhAAI,2022-10-18 19:40:23,6.0
dpvo6dp768kep23dpvmqiwlg58rli6p7,7000002DKZgAAO,2022-10-04 10:27:54,9.0
3pt7jzdhnhrutz81fgas3pt7jws7joec,7000002ZvlBAAS,2022-10-06 07:29:50,5.0
5phwaglusdtrghpm65phwagxuc472x3q,7000002aEX8AAM,2022-10-12 19:24:59,10.0
ylk80bcyaebj4q7vylk8tubfs0dq7jjr,7000002abA3AAI,2022-10-14 06:39:02,5.0
uz0tnnw2l86w8thmuz0kwsj9gr5fzf4a,7000002acYuAAI,2022-10-09 09:36:21,6.0
6ywvc2vnmowrwhdh6ywlfbfmsblvihp5,7000002ar3TAAQ,2022-10-05 17:54:41,6.0
hbjksv6p8quibxhbjljhdenzk8t8opg6,7000002atoCAAQ,2022-10-12 19:40:30,4.0
9mz7bpxpkd0le5sr8d8c9mz7bpxmnqfo,7000002avZYAAY,2022-10-04 19:28:14,8.0
rjun01aqvhhr827rjun0sf3o9cinkrc2,7000002ax3AAAQ,2022-10-12 23:03:54,9.0
