serviceappointment_id,created_date,appointment_date,status,arrival_window_start_time,arrival_window_end_time,on_site,service_territory,work_type,customer_home,serviceresource_id
7000000GyM7AAK,2022-09-19,2022-10-04,completed,2022-10-04 10:00:00,2022-10-04 12:00:00,2022-10-04 11:56:00,T-Limburg,installation,1,v0000000V0tCAE
7000002a81uAAA,2022-08-18,2022-10-14,completed,2022-10-14 10:00:00,2022-10-14 12:00:00,2022-10-14 11:40:00,T-Limburg,repair,1,v0000000V0tCAE
7000002b7JdAAI,2022-09-15,2022-10-17,completed,2022-10-17 12:00:00,2022-10-17 14:00:00,2022-10-17 12:32:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bDe3AAE,2022-09-19,2022-10-04,completed,2022-10-04 12:00:00,2022-10-04 14:00:00,2022-10-04 13:19:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bDzuAAE,2022-09-19,2022-10-17,completed,2022-10-17 06:00:00,2022-10-17 08:00:00,2022-10-17 07:36:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bHDGAA2,2022-09-20,2022-10-03,completed,2022-10-03 06:00:00,2022-10-03 08:00:00,2022-10-03 07:50:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bLttAAE,2022-09-21,2022-10-12,completed,2022-10-12 12:00:00,2022-10-12 14:00:00,2022-10-12 13:15:00,T-Limburg,installation,1,v0000000V0tCAE
7000002baQmAAI,2022-09-27,2022-10-04,completed,2022-10-04 08:00:00,2022-10-04 10:00:00,2022-10-04 07:51:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bpPGAAY,2022-10-03,2022-10-12,completed,2022-10-12 12:00:00,2022-10-12 14:00:00,2022-10-12 13:15:00,T-Limburg,repair,1,v0000000V0tCAE
7000002c6wQAAQ,2022-10-10,2022-10-11,completed,2022-10-11 12:00:00,2022-10-11 14:00:00,2022-10-11 13:44:00,T-Limburg,installation,1,v0000000V0tCAE
7000002cG5IAAU,2022-10-12,2022-10-13,completed,2022-10-13 06:00:00,2022-10-13 08:00:00,2022-10-13 08:02:00,T-Limburg,repair,1,v0000000V0tCAE
7000002cItPAAU,2022-10-13,2022-10-21,completed,2022-10-21 14:00:00,2022-10-21 16:00:00,2022-10-21 16:36:00,T-Limburg,repair,1,v0000000V0tCAE
7000002cLqxAAE,2022-10-14,2022-10-21,completed,2022-10-21 10:00:00,2022-10-21 12:00:00,2022-10-21 10:45:00,T-Limburg,installation,1,v0000000V0tCAE
7000002c2ntAAA,2022-10-07,2022-10-12,cannot start,2022-10-12 08:00:00,2022-10-12 10:00:00,2022-10-12 09:50:00,T-Limburg,repair,0,v0000000V0tCAE
7000002bqVjAAI,2022-10-03,2022-10-13,completed,2022-10-13 10:00:00,2022-10-13 12:00:00,2022-10-13 11:06:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bTxUAAU,2022-09-23,2022-10-17,completed,2022-10-17 06:00:00,2022-10-17 08:00:00,2022-10-17 07:00:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bdi5AAA,2022-09-28,2022-10-05,completed,2022-10-05 14:00:00,2022-10-05 16:00:00,2022-10-05 15:50:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bS3uAAE,2022-09-23,2022-10-10,completed,2022-10-10 12:00:00,2022-10-10 14:00:00,2022-10-10 12:30:00,T-Limburg,installation,1,v0000000V0tCAE
7000002bqfZAAQ,2022-10-03,2022-10-13,completed,2022-10-13 12:00:00,2022-10-13 14:00:00,2022-10-13 13:13:00,T-Limburg,repair,1,v0000000V0tCAE
7000002bqfUAAQ,2022-10-03,2022-10-04,completed,2022-10-04 14:00:00,2022-10-04 16:00:00,2022-10-04 14:11:00,T-Limburg,installation,1,v0000000V0tCAE
7000002blT4AAI,2022-09-30,2022-10-11,completed,2022-10-11 10:00:00,2022-10-11 12:00:00,2022-10-11 12:10:00,T-Limburg,repair,1,v0000000V0tCAE
